"","Group lasso coefficient","Elastic net coefficient","glasso_rank","elastic_rank"
"age_s",0.064,0.068,7,7
"sexNot_Male",NA,NA,8,9
"ethnicitynon_english_speaking",NA,0.018,9,8
"ethnicityother_english_sp",NA,NA,10,10
"dmtypesType2",NA,NA,11,11
"lcharlson",0.462,0.329,1,1
"insulinNo_insulin",NA,NA,12,12
"last90daysYes",0.146,0.139,4,2
"med_surgSurgical",-0.081,-0.074,6,5
"emergencyEmerg",0.09,0.07,5,6
"MaritalStatusOther",NA,NA,13,13
"bgl_max>15",NA,NA,14,14
"bgl_max10-15",NA,NA,15,15
"bgl_min<4",NA,NA,16,16
"disadvantage_s",0.182,0.118,3,4
"log_los_days_s",0.201,0.136,2,3
