"","Group lasso coefficient","Elastic net coefficient","GL_or","EN_or"
"Intercept",-7.79851324469163,-6.2645661038757,0.000410344607706888,0.00190253874357556
"age",0.00481295629475973,0.00507720433465662,1.00482455717295,1.00509011517767
"ethnicitynon_english_speaking",0,0.0364633176734284,1,1.03713625874902
"ethnicityother_english_sp",0,0,1,1
"dmtypesType2",0,0,1,1
"lcharlson",0.652019129556431,0.464381852675673,1.91941246146672,1.59103039367247
"last90daysYes",0.332942407852947,0.315713627184383,1.39506695125514,1.37123751424567
"emergencyEmerg",0.205439193475236,0.159934985365678,1.22806430436894,1.17343457809176
"MaritalStatusOther",0,0,1,1
"bgl_max>15",0,0,1,1
"bgl_max10-15",0,0,1,1
"bgl_min<4",0,0,1,1
"disadvantage",0.00336330357358171,0.00217107003438737,1.00336896582522,1.00217342851343
"log_los_days",0.199142987268132,0.135387293192916,1.22035644885992,1.144980141506
"med_surgMed",0.165914045933713,0.150638809064046,1.18047163102561,1.16257667008287
"sex_Male",0,0,1,1
"insulinInsulin",0,0,1,1
