"X","var_names","var_imp_final","nnet_rank"
1,"lcharlson",4.6025735274842,1
2,"log_los_days_s",2.45034696215973,2
3,"bgl_max",1.41764591156453,3
4,"last90days",1.19820230273453,4
5,"disadvantage_s",1.00767452390325,5
6,"ethnicity",0.884585232882573,6
7,"sex",0.808462046552869,7
8,"insulin",0.750229632577786,8
9,"med_surg",0.729149985105099,9
10,"age_s",0.667102803788085,10
11,"MaritalStatus",0.482896695172321,11
12,"bgl_min",0.329512306880951,12
13,"emergency",0.295568129964072,13
14,"dmtypes",0.0239094567535088,14
